T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,GWETPROF,NDVI_RAW
20.89,28.22,15.05,0.31,71.19,19.19,0.63,0.5025
20.32,24.94,16.63,1.38,76.54,17.6,0.63,0.50535600
20.45,27.82,15.8,0.28,68.49,19.18,0.63,0.5082120
20.66,28.65,15.16,1.51,70.54,19.91,0.62,0.51106900
20.84,27.85,15.48,1.56,72.57,17.26,0.62,0.513925
19.37,25.9,16.16,5.24,80.02,16.36,0.62,0.51678100
19.77,26.41,16.04,6.42,77.73,13.38,0.64,0.5196370
19.84,26.78,15.23,0.55,75.05,21.86,0.63,0.52249400
20.35,28.49,14.37,0.15,67.92,22.67,0.63,0.52535
19.38,25.8,14.27,0.36,71.65,15.78,0.63,0.52820600
19.17,26.29,15.07,0.58,71.52,14.56,0.63,0.5310620
20.07,25.92,15.84,5.4,76.56,15.04,0.63,0.53391900
19.22,22.62,17.28,19.92,85.93,11.31,0.65,0.536775
19.7,25.04,16.27,4.4,77.9,18.36,0.66,0.53963100
20.49,27.41,16.36,1.18,76.4,21.36,0.66,0.5424880
20.62,26.37,16.14,1.85,76.76,22.45,0.66,0.54534400
19.79,25.86,15.02,0.42,72.9,16.5,0.66,0.5482
20.67,26.87,15.69,0.32,72.14,12.83,0.66,0.5439
20.71,26.07,16.13,3.08,75.59,23.34,0.66,0.5396
19.35,22.46,16.71,14.43,82.98,17.35,0.66,0.5353
19.21,25.65,15.2,6.72,75.44,14.29,0.68,0.531
19.67,26.72,13.61,0.08,71.84,20.74,0.68,0.5266999999999999
19.49,26.06,14.21,0.0,71.63,24.09,0.67,0.5224
19.62,27.51,14.32,0.0,63.89,25.23,0.67,0.5181
19.7,26.32,14.34,0.21,70.16,23.61,0.67,0.5138
19.97,25.31,15.87,0.14,75.89,23.08,0.66,0.5095000000000000
20.76,27.95,16.65,0.3,75.76,25.61,0.66,0.5052
20.82,27.81,15.89,0.3,72.26,26.79,0.66,0.5009
21.03,28.6,15.31,0.37,72.42,25.03,0.65,0.4966
21.04,28.05,15.64,1.36,74.81,23.13,0.65,0.4923
21.26,28.51,16.27,0.55,70.59,24.16,0.65,0.488
20.95,29.28,14.93,0.23,68.94,24.46,0.65,0.4837
21.06,27.76,15.87,0.0,69.87,20.21,0.64,0.4794
22.25,30.16,16.67,0.0,64.96,26.04,0.64,0.47915600
21.97,30.03,15.65,0.03,66.9,25.88,0.63,0.47891200000000000
21.16,28.79,15.57,0.26,70.0,24.2,0.63,0.47866900
20.1,27.06,15.55,0.26,69.95,24.61,0.63,0.478425
21.54,29.65,15.25,0.2,64.59,25.6,0.63,0.47818100
21.57,28.71,16.06,0.21,68.98,21.9,0.62,0.4779380
21.83,29.43,15.65,0.01,65.74,25.97,0.62,0.47769400
21.41,28.91,15.61,0.92,70.0,24.63,0.62,0.47745
21.71,30.02,15.91,0.39,67.87,24.86,0.62,0.47720600
22.26,30.74,15.81,0.23,63.4,26.72,0.61,0.47696200000000000
21.37,26.93,16.86,0.64,69.71,26.54,0.61,0.47671900000000000
22.18,30.49,16.34,0.48,66.91,26.53,0.61,0.476475
21.31,29.27,15.36,0.01,64.18,27.11,0.61,0.47623100
20.41,27.15,13.07,0.04,66.73,27.85,0.6,0.4759880
22.09,30.29,15.65,0.21,67.26,27.87,0.6,0.47574400000000000
23.01,31.08,16.23,0.08,63.73,25.31,0.6,0.4755
24.02,32.57,16.31,0.12,56.29,22.03,0.6,0.46833100
23.51,31.83,17.44,0.45,61.79,24.87,0.6,0.4611620
22.85,30.97,16.48,0.05,61.95,26.91,0.6,0.45399400
22.16,29.77,14.84,0.41,65.8,27.44,0.6,0.44682500000000003
21.78,28.89,16.32,0.86,66.65,22.0,0.6,0.43965599999999999
21.36,28.46,17.1,3.22,73.0,14.69,0.6,0.43248700000000001
22.22,30.5,16.7,0.88,66.64,20.16,0.6,0.42531900000000000
22.65,29.76,16.94,0.58,62.12,21.22,0.6,0.41815
21.79,28.37,16.07,2.93,70.99,20.66,0.6,0.41098099999999999
21.43,26.43,17.19,4.85,74.42,18.67,0.6,0.4038130
21.38,27.56,16.95,2.66,73.88,22.02,0.61,0.39664400
22.38,30.32,17.02,2.76,71.27,24.77,0.61,0.389475
22.27,29.74,17.11,1.07,69.23,25.99,0.61,0.38230600
22.07,30.0,16.71,0.13,69.44,25.57,0.61,0.3751380
22.59,31.01,16.4,0.12,62.45,22.37,0.6,0.36796900
21.63,29.0,17.3,0.54,71.29,23.78,0.6,0.3608
21.88,29.12,16.88,1.48,67.68,23.31,0.6,0.3653370
21.5,29.1,14.84,0.16,67.88,26.01,0.6,0.369875
22.88,31.6,16.97,0.12,63.57,25.9,0.6,0.37441300000000000
22.44,29.87,17.13,1.94,68.35,25.11,0.6,0.37895
22.72,30.16,17.61,1.17,65.71,25.05,0.6,0.3834870
22.51,30.19,16.69,0.11,59.51,27.52,0.6,0.388025
22.52,31.39,14.1,0.06,55.38,28.8,0.6,0.39256300000000000
22.09,31.03,14.98,0.16,64.5,27.5,0.6,0.3971
22.72,31.09,17.28,0.52,66.03,24.67,0.6,0.4016370
22.47,30.84,16.79,0.6,66.02,25.75,0.6,0.406175
22.94,31.46,16.63,0.18,59.58,25.47,0.6,0.41071299999999999
23.55,32.84,15.77,0.02,57.7,27.73,0.59,0.41525
23.68,32.95,17.37,0.16,60.83,24.68,0.59,0.4197870
23.41,30.63,17.95,0.03,61.16,25.25,0.59,0.424325
23.36,31.01,17.94,0.22,65.84,24.52,0.59,0.42886299999999999
24.09,32.47,18.13,0.13,60.12,26.19,0.59,0.4334
24.32,33.03,17.98,0.36,61.21,26.8,0.59,0.43070600
22.28,28.64,18.75,15.18,75.15,21.64,0.6,0.4280130
21.36,27.6,18.08,13.0,77.02,17.62,0.62,0.42531900
21.43,27.55,17.68,27.43,75.41,20.97,0.67,0.42262499999999997
21.58,27.91,17.44,4.5,74.55,23.39,0.67,0.41993100
21.71,27.99,17.82,3.19,77.31,22.54,0.67,0.4172370
21.47,28.44,16.85,1.26,72.53,22.83,0.67,0.41454400
21.18,28.39,15.08,0.57,73.83,24.19,0.66,0.41185
20.69,27.05,17.43,3.05,80.08,21.67,0.66,0.40915600
20.78,27.17,16.62,5.16,73.4,20.84,0.66,0.4064630
19.92,24.98,16.68,15.21,79.47,19.85,0.67,0.40376900
20.58,27.38,16.6,0.39,76.79,18.79,0.68,0.40107500000000001
20.12,26.72,16.17,1.83,75.02,20.22,0.68,0.39838099999999999
18.98,23.35,15.83,5.58,83.52,17.01,0.68,0.39568700000000001
19.86,25.58,16.19,3.63,80.46,20.9,0.68,0.39299400
20.28,26.44,16.14,4.33,77.82,18.96,0.69,0.3903
20.34,25.88,16.16,0.47,76.94,24.21,0.69,0.397375
19.29,23.48,16.32,51.65,89.89,20.56,0.72,0.40445
19.73,25.37,16.08,3.14,82.82,17.76,0.74,0.411525
20.22,26.68,15.87,0.2,78.93,24.5,0.74,0.41860000000000003
19.71,24.38,16.31,1.86,82.74,21.4,0.73,0.42567500000000003
20.65,26.77,16.45,1.99,78.68,19.56,0.73,0.43275000000000002
20.13,25.56,17.4,4.06,84.44,18.13,0.72,0.43982500000000002
19.25,23.1,17.02,8.73,86.98,19.73,0.73,0.44690000000000002
19.05,23.02,16.39,1.31,86.37,19.61,0.73,0.45397500000000002
19.93,25.65,16.45,0.77,80.33,22.53,0.73,0.46105000000000002
20.01,26.28,15.7,1.55,83.04,21.4,0.72,0.46812500000000001
19.85,25.73,16.44,3.65,81.18,22.31,0.72,0.47520000000000001
19.07,24.79,14.29,2.08,82.0,18.13,0.72,0.48227500000000001
19.71,25.46,15.45,4.65,83.54,20.09,0.72,0.48935000000000001
19.64,24.32,16.43,3.74,84.26,16.14,0.72,0.49642500000000001
19.78,24.25,16.72,1.73,84.71,20.25,0.72,0.5035
20.3,25.45,15.92,5.43,83.53,18.14,0.72,0.5069870000000000
20.01,24.22,17.14,11.59,84.29,18.4,0.73,0.510475
18.56,21.28,16.92,19.89,91.07,16.71,0.75,0.5139620
18.44,21.57,16.21,15.01,88.73,13.36,0.77,0.51745
19.51,24.83,15.13,5.21,84.15,19.97,0.78,0.5209370000000000
18.92,23.05,16.18,7.96,86.83,15.17,0.78,0.5244250000000000
19.22,24.72,15.1,2.63,84.13,19.16,0.78,0.5279130
20.17,24.76,16.6,9.15,84.34,19.15,0.79,0.5314
19.29,22.4,17.24,13.34,88.67,15.4,0.79,0.5348870
20.03,25.18,15.81,7.96,85.38,17.27,0.8,0.538375
19.72,23.58,17.41,2.49,87.89,17.26,0.8,0.5418630
19.01,22.46,16.9,1.86,86.77,13.34,0.8,0.54535
19.06,24.37,15.97,9.63,87.0,19.47,0.8,0.5488370
18.8,23.08,15.76,3.49,88.01,16.35,0.81,0.552325
19.06,24.0,15.44,1.81,85.55,16.28,0.81,0.5558130
18.8,24.11,14.37,0.85,83.62,15.42,0.8,0.5593
18.22,22.81,14.47,1.23,85.88,16.61,0.8,0.5541
18.28,24.28,13.76,1.21,83.4,14.81,0.79,0.5489
19.0,25.33,13.99,0.36,81.87,23.07,0.79,0.5437000000000000
18.66,25.92,13.06,0.0,76.67,23.47,0.78,0.5385
18.59,25.96,12.71,0.02,76.45,24.08,0.77,0.5333
19.32,25.68,13.48,2.92,81.24,21.14,0.76,0.5281
19.87,25.88,14.95,0.44,80.89,19.57,0.76,0.5229
19.8,25.85,14.48,1.14,82.23,20.57,0.75,0.5177
20.09,25.95,15.86,1.45,82.04,20.56,0.75,0.5125000000000000
20.09,25.99,14.51,0.42,78.04,20.92,0.74,0.5073
20.16,26.06,14.4,0.27,79.25,20.18,0.73,0.5021
20.15,25.59,15.78,0.11,79.41,18.98,0.73,0.4969
19.39,24.4,15.52,0.3,80.89,18.41,0.72,0.4917
19.61,25.36,15.58,2.16,82.33,19.14,0.72,0.48649999999999999
19.16,25.11,14.92,1.96,82.99,15.44,0.72,0.4813
19.26,25.7,14.07,0.54,77.36,19.98,0.71,0.4761
19.53,25.37,14.87,4.52,81.74,13.68,0.71,0.4703
20.07,26.07,15.96,1.27,79.46,19.88,0.71,0.4645
20.11,26.85,14.61,0.06,75.31,21.2,0.71,0.4587
20.31,27.44,14.7,0.22,74.77,17.72,0.7,0.4529
20.26,27.25,14.32,0.2,74.59,17.33,0.7,0.4471
20.15,27.51,13.69,0.34,74.52,19.4,0.69,0.4413
19.86,27.69,12.65,0.11,69.66,19.43,0.68,0.4355
20.11,28.43,12.93,0.02,67.84,20.85,0.68,0.42970000000000003
20.61,27.53,15.02,0.27,73.89,18.7,0.67,0.4239
20.19,25.1,16.4,2.24,75.25,19.94,0.67,0.41810000000000003
20.53,26.4,15.95,4.48,74.97,20.57,0.68,0.4123
20.27,27.4,15.52,0.32,73.99,17.27,0.67,0.4065
19.79,27.07,14.39,0.5,73.02,13.67,0.67,0.4007
19.86,26.89,14.18,0.75,73.55,18.11,0.67,0.3949
19.54,26.27,14.48,0.83,76.06,15.83,0.66,0.3891
18.9,25.38,14.52,1.13,73.87,9.22,0.66,0.3833
18.85,26.15,13.66,1.14,74.19,17.6,0.66,0.38814399999999999
18.47,25.57,12.8,0.15,70.68,19.12,0.66,0.3929870
18.46,25.95,11.82,0.04,69.13,19.55,0.65,0.39783099999999999
18.89,28.01,11.17,0.0,63.38,22.18,0.65,0.402675
19.6,27.87,11.95,0.03,63.79,21.84,0.65,0.40751900
19.39,26.88,13.06,0.23,67.12,20.35,0.64,0.41236200000000001
18.98,25.43,14.45,1.02,70.11,18.82,0.64,0.41720600
19.26,26.83,12.49,0.03,66.47,20.38,0.64,0.42205
