T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,ALLSKY_SFC_SW_DWN,GWETPROF,NDVI_raw
20.89,28.22,15.05,0.31,71.19,19.19,0.63,0.5025
20.32,24.94,16.63,1.38,76.54,17.6,0.63,0.50535625
20.45,27.82,15.8,0.28,68.49,19.18,0.63,0.5082125
20.66,28.65,15.16,1.51,70.54,19.91,0.62,0.51106875
20.84,27.85,15.48,1.56,72.57,17.26,0.62,0.513925
19.37,25.9,16.16,5.24,80.02,16.36,0.62,0.51678125
19.77,26.41,16.04,6.42,77.73,13.38,0.64,0.5196375
19.84,26.78,15.23,0.55,75.05,21.86,0.63,0.52249375
20.35,28.49,14.37,0.15,67.92,22.67,0.63,0.52535
19.38,25.8,14.27,0.36,71.65,15.78,0.63,0.52820625
19.17,26.29,15.07,0.58,71.52,14.56,0.63,0.5310625
20.07,25.92,15.84,5.4,76.56,15.04,0.63,0.53391875
19.22,22.62,17.28,19.92,85.93,11.31,0.65,0.536775
19.7,25.04,16.27,4.4,77.9,18.36,0.66,0.53963125
20.49,27.41,16.36,1.18,76.4,21.36,0.66,0.5424875
20.62,26.37,16.14,1.85,76.76,22.45,0.66,0.54534375
19.79,25.86,15.02,0.42,72.9,16.5,0.66,0.5482
20.67,26.87,15.69,0.32,72.14,12.83,0.66,0.5439
20.71,26.07,16.13,3.08,75.59,23.34,0.66,0.5396
19.35,22.46,16.71,14.43,82.98,17.35,0.66,0.5353
19.21,25.65,15.2,6.72,75.44,14.29,0.68,0.531
19.67,26.72,13.61,0.08,71.84,20.74,0.68,0.5267000000000001
19.49,26.06,14.21,0.0,71.63,24.09,0.67,0.5224
19.62,27.51,14.32,0.0,63.89,25.23,0.67,0.5181
19.7,26.32,14.34,0.21,70.16,23.61,0.67,0.5138
19.97,25.31,15.87,0.14,75.89,23.08,0.66,0.5095000000000001
20.76,27.95,16.65,0.3,75.76,25.61,0.66,0.5052
20.82,27.81,15.89,0.3,72.26,26.79,0.66,0.5009
21.03,28.6,15.31,0.37,72.42,25.03,0.65,0.4966
21.04,28.05,15.64,1.36,74.81,23.13,0.65,0.4923
21.26,28.51,16.27,0.55,70.59,24.16,0.65,0.488
20.95,29.28,14.93,0.23,68.94,24.46,0.65,0.4837
21.06,27.76,15.87,0.0,69.87,20.21,0.64,0.4794
22.25,30.16,16.67,0.0,64.96,26.04,0.64,0.47915625
21.97,30.03,15.65,0.03,66.9,25.88,0.63,0.47891249999999996
21.16,28.79,15.57,0.26,70.0,24.2,0.63,0.47866875
20.1,27.06,15.55,0.26,69.95,24.61,0.63,0.478425
21.54,29.65,15.25,0.2,64.59,25.6,0.63,0.47818125
21.57,28.71,16.06,0.21,68.98,21.9,0.62,0.4779375
21.83,29.43,15.65,0.01,65.74,25.97,0.62,0.47769375
21.41,28.91,15.61,0.92,70.0,24.63,0.62,0.47745
21.71,30.02,15.91,0.39,67.87,24.86,0.62,0.47720625
22.26,30.74,15.81,0.23,63.4,26.72,0.61,0.47696249999999996
21.37,26.93,16.86,0.64,69.71,26.54,0.61,0.47671874999999997
22.18,30.49,16.34,0.48,66.91,26.53,0.61,0.476475
21.31,29.27,15.36,0.01,64.18,27.11,0.61,0.47623125
20.41,27.15,13.07,0.04,66.73,27.85,0.6,0.4759875
22.09,30.29,15.65,0.21,67.26,27.87,0.6,0.47574374999999997
23.01,31.08,16.23,0.08,63.73,25.31,0.6,0.4755
24.02,32.57,16.31,0.12,56.29,22.03,0.6,0.46833125
23.51,31.83,17.44,0.45,61.79,24.87,0.6,0.4611625
22.85,30.97,16.48,0.05,61.95,26.91,0.6,0.45399375
22.16,29.77,14.84,0.41,65.8,27.44,0.6,0.44682499999999997
21.78,28.89,16.32,0.86,66.65,22.0,0.6,0.43965624999999997
21.36,28.46,17.1,3.22,73.0,14.69,0.6,0.43248749999999997
22.22,30.5,16.7,0.88,66.64,20.16,0.6,0.42531874999999997
22.65,29.76,16.94,0.58,62.12,21.22,0.6,0.41815
21.79,28.37,16.07,2.93,70.99,20.66,0.6,0.41098124999999996
21.43,26.43,17.19,4.85,74.42,18.67,0.6,0.4038125
21.38,27.56,16.95,2.66,73.88,22.02,0.61,0.39664375
22.38,30.32,17.02,2.76,71.27,24.77,0.61,0.389475
22.27,29.74,17.11,1.07,69.23,25.99,0.61,0.38230625
22.07,30.0,16.71,0.13,69.44,25.57,0.61,0.3751375
22.59,31.01,16.4,0.12,62.45,22.37,0.6,0.36796875
21.63,29.0,17.3,0.54,71.29,23.78,0.6,0.3608
21.88,29.12,16.88,1.48,67.68,23.31,0.6,0.3653375
21.5,29.1,14.84,0.16,67.88,26.01,0.6,0.369875
22.88,31.6,16.97,0.12,63.57,25.9,0.6,0.37441250000000004
22.44,29.87,17.13,1.94,68.35,25.11,0.6,0.37895
22.72,30.16,17.61,1.17,65.71,25.05,0.6,0.3834875
22.51,30.19,16.69,0.11,59.51,27.52,0.6,0.388025
22.52,31.39,14.1,0.06,55.38,28.8,0.6,0.39256250000000004
22.09,31.03,14.98,0.16,64.5,27.5,0.6,0.3971
22.72,31.09,17.28,0.52,66.03,24.67,0.6,0.4016375
22.47,30.84,16.79,0.6,66.02,25.75,0.6,0.406175
22.94,31.46,16.63,0.18,59.58,25.47,0.6,0.41071250000000004
23.55,32.84,15.77,0.02,57.7,27.73,0.59,0.41525
23.68,32.95,17.37,0.16,60.83,24.68,0.59,0.4197875
23.41,30.63,17.95,0.03,61.16,25.25,0.59,0.424325
23.36,31.01,17.94,0.22,65.84,24.52,0.59,0.42886250000000004
24.09,32.47,18.13,0.13,60.12,26.19,0.59,0.4334
24.32,33.03,17.98,0.36,61.21,26.8,0.59,0.43070625
22.28,28.64,18.75,15.18,75.15,21.64,0.6,0.4280125
21.36,27.6,18.08,13.0,77.02,17.62,0.62,0.42531875
21.43,27.55,17.68,27.43,75.41,20.97,0.67,0.42262500000000003
21.58,27.91,17.44,4.5,74.55,23.39,0.67,0.41993125
21.71,27.99,17.82,3.19,77.31,22.54,0.67,0.4172375
21.47,28.44,16.85,1.26,72.53,22.83,0.67,0.41454375
21.18,28.39,15.08,0.57,73.83,24.19,0.66,0.41185
20.69,27.05,17.43,3.05,80.08,21.67,0.66,0.40915625
20.78,27.17,16.62,5.16,73.4,20.84,0.66,0.4064625
